항목,2018/12(IFRS연결),2019/12(IFRS연결),2020/12(IFRS연결),2021/12(IFRS연결),2022/12(IFRS연결),2023/12(E)(IFRS연결),전년대비(2022),전년대비(2023)
EPS,"5,352","10,761","5,143","17,846","26,592","31,707",49,19
 당기순이익(지배)＜당기＞,"15,080.8","29,800.5","14,244.4","49,423.6","73,643.6","87,009.1", , 
 보통주수정평균발행주식수＜당기＞,"217,415,903","213,668,187","213,668,187","213,668,187","213,668,187","211,724,685", , 
 우선주수정평균발행주식수＜당기＞,"64,366,142","63,270,871","63,270,871","63,270,871","63,270,871","62,695,368", , 
BPS,"256,422","267,549","266,968","289,609","315,142","347,220",9,10
 자본총계(지배)＜당기＞,"679,739.7","700,658.0","694,806.3","749,861.2","823,492.9","909,438.6", , 
 보통주수정기말발행주식수(자사주차감)＜당기＞,"204,280,606","201,833,036","200,576,769","199,619,945","202,259,476","202,870,846", , 
 우선주수정기말발행주식수(자사주차감)＜당기＞,"60,805,434","60,047,227","59,681,734","59,302,110","59,049,027","59,049,027", , 
CPS,"13,359","1,516","-1,480","-4,248","38,374","52,979","1,003",38
 영업활동현금흐름＜당기＞,"37,642.7","4,197.8","-4,098.1","-11,764.2","106,273.1","136,265.8", , 
 보통주수정평균발행주식수＜당기＞,"217,415,903","213,668,187","213,668,187","213,668,187","213,668,187","211,724,685", , 
 우선주수정평균발행주식수＜당기＞,"64,366,142","63,270,871","63,270,871","63,270,871","63,270,871","62,695,368", , 
SPS,"343,573","381,840","375,525","424,681","514,653","547,878",21,6
 매출액＜당기＞,"968,126.1","1,057,464.2","1,039,976.0","1,176,106.3","1,425,275.4","1,503,487.4", , 
 보통주수정평균발행주식수＜당기＞,"217,415,903","213,668,187","213,668,187","213,668,187","213,668,187","211,724,685", , 
 우선주수정평균발행주식수＜당기＞,"64,366,142","63,270,871","63,270,871","63,270,871","63,270,871","62,695,368", , 
PER,22.14,11.20,37.33,11.71,5.68,5.86,-51.51,3.25
 보통주수정주가(기말)＜당기＞,"118,500","120,500","192,000","209,000","151,000","185,900", , 
 EPS＜당기＞,"5,352","10,761","5,143","17,846","26,592","31,707", , 
PBR,0.46,0.45,0.72,0.72,0.48,0.54,-33.60,11.74
 보통주수정주가(기말)＜당기＞,"118,500","120,500","192,000","209,000","151,000","185,900", , 
 BPS＜당기＞,"256,422","267,549","266,968","289,609","315,142","347,220", , 
PCR,8.87,79.50,-129.75,-49.20,3.93,3.51,108.00,-10.83
 보통주수정주가(기말)＜당기＞,"118,500","120,500","192,000","209,000","151,000","185,900", , 
 CPS＜당기＞,"13,359","1,516","-1,480","-4,248","38,374","52,979", , 
PSR,0.34,0.32,0.51,0.49,0.29,0.34,-40.38,15.65
 보통주수정주가(기말)＜당기＞,"118,500","120,500","192,000","209,000","151,000","185,900", , 
 SPS＜당기＞,"343,573","381,840","375,525","424,681","514,653","547,878", , 
EV/EBITDA,12.37,11.75,16.57,11.37,7.96,7.87,-30.00,-1.17
 EV＜당기＞,"765,044.6","873,635.9","1,090,036.7","1,277,281.6","1,183,246.9","1,246,554.0", , 
 EBITDA＜당기＞,"61,836.3","74,373.8","65,800.4","112,346.9","148,673.9","158,484.6", , 
DPS,"4,000","4,000","3,000","5,000","7,000",,40, 
 현금DPS,"4,000","4,000","3,000","5,000","7,000",, , 
 주식DPS,0,0,0,0,,, , 
 현금배당수익률,3.38,3.32,1.56,2.39,4.64,3.71,2.24,-0.93
 현금배당성향(%),70.70,35.35,55.15,26.32,24.85,16.76,-1.46,-8.10
