nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount,bimok
22249566,"2021년 1월 사업소 물재생센터 중랑물재생센터 업무추진비 - 전체",http://opengov.seoul.go.kr/public/22249566,사업소,물재생센터,중랑물재생센터,,,2021,1,,,,"중랑물재생센터 관리과","2021-01-25 00:00",,"소속직원 경조사비","김광옥, 김용성",현금,100000,
22249566,"2021년 1월 사업소 물재생센터 중랑물재생센터 업무추진비 - 전체",http://opengov.seoul.go.kr/public/22249566,사업소,물재생센터,중랑물재생센터,,,2021,1,,,,"중랑물재생센터 운영과","2021-01-22 00:00",복시루,"운영과 다과구매-전출직원선물",,카드,90000,
22249566,"2021년 1월 사업소 물재생센터 중랑물재생센터 업무추진비 - 전체",http://opengov.seoul.go.kr/public/22249566,사업소,물재생센터,중랑물재생센터,,,2021,1,,,,"중랑물재생센터 시설보수과","2021-01-21 00:00",떡시루,"소속직원 송별떡","시설보수과장외 27명",카드,80000,
22249566,"2021년 1월 사업소 물재생센터 중랑물재생센터 업무추진비 - 전체",http://opengov.seoul.go.kr/public/22249566,사업소,물재생센터,중랑물재생센터,,,2021,1,,,,"중랑물재생센터 운영과","2021-01-21 00:00",서울시청매점,"운영과 다과구매-전출직원선물",,제로페이,48000,
22249566,"2021년 1월 사업소 물재생센터 중랑물재생센터 업무추진비 - 전체",http://opengov.seoul.go.kr/public/22249566,사업소,물재생센터,중랑물재생센터,,,2021,1,,,,"중랑물재생센터 운영과","2021-01-21 00:00",복시루,"운영과 다과구매-전출직원선물",,카드,75000,
22249566,"2021년 1월 사업소 물재생센터 중랑물재생센터 업무추진비 - 전체",http://opengov.seoul.go.kr/public/22249566,사업소,물재생센터,중랑물재생센터,,,2021,1,,,,"중랑물재생센터 운영과","2021-01-20 00:00","이마트 왕십리점","운영과 회의용 음료 및 간식구매",,제로페이,203350,
22249566,"2021년 1월 사업소 물재생센터 중랑물재생센터 업무추진비 - 전체",http://opengov.seoul.go.kr/public/22249566,사업소,물재생센터,중랑물재생센터,,,2021,1,,,,"중랑물재생센터 시설보수과","2021-01-19 00:00",이마트,커피구입비용,"시설보수과장외 16명",제로페이,160950,
22249566,"2021년 1월 사업소 물재생센터 중랑물재생센터 업무추진비 - 전체",http://opengov.seoul.go.kr/public/22249566,사업소,물재생센터,중랑물재생센터,,,2021,1,,,,"중랑물재생센터 관리과","2021-01-19 00:00","이마트 왕십리점","부서운영 및 내방객용 다과류구매",,카드,184350,
22249566,"2021년 1월 사업소 물재생센터 중랑물재생센터 업무추진비 - 전체",http://opengov.seoul.go.kr/public/22249566,사업소,물재생센터,중랑물재생센터,,,2021,1,,,,"중랑물재생센터 시설보수과","2021-01-14 00:00",이지커피,커피(렌탈)비용지출,"시설보수과장외 16명",카드,100000,
22249566,"2021년 1월 사업소 물재생센터 중랑물재생센터 업무추진비 - 전체",http://opengov.seoul.go.kr/public/22249566,사업소,물재생센터,중랑물재생센터,,,2021,1,,,,"중랑물재생센터 시설보수과","2021-01-13 00:00",더드림마트,"시설보수과 scr회의용 음료구매","정종영외 5명",카드,12000,
