,createDt,deathCnt,decideCnt,seq,stateDt,stateTime,updateDt,accExamCnt,accDefRate
0,2022-06-08 09:09:05.982,24305,18188200,904,20220608,00:00,null,,
1,2022-06-07 09:09:00.897,24299,18174842,903,20220607,00:00,2022-06-08 09:10:36.846,,
2,2022-06-06 09:00:06.734,24279,18168670,902,20220606,00:00,2022-06-08 09:10:50.441,,
3,2022-06-05 08:53:19.426,24258,18163648,901,20220605,00:00,2022-06-08 09:11:04.758,,
4,2022-06-04 08:56:49.219,24238,18153814,900,20220604,00:00,2022-06-08 09:11:26.303,,
5,2022-06-03 09:08:18.729,24229,18141775,899,20220603,00:00,2022-06-08 09:11:38.938,,
6,2022-06-02 08:58:19.746,24212,18129236,898,20220602,00:00,2022-06-08 09:11:51.985,,
7,2022-06-01 09:07:30.461,24197,18119345,897,20220601,00:00,2022-06-08 09:12:05.316,,
8,2022-05-31 08:55:39.977,24176,18103577,896,20220531,00:00,2022-06-04 08:59:23.637,,
9,2022-05-30 09:01:30.847,24167,18086392,895,20220530,00:00,2022-06-04 08:59:37.203,,
10,2022-05-29 09:05:28.382,24158,18080257,894,20220529,00:00,2022-06-04 08:59:51.863,,
11,2022-05-28 09:09:18.909,24139,18067610,893,20220528,00:00,2022-06-04 09:00:06.316,,
12,2022-05-27 09:03:34.444,24103,18053236,892,20220527,00:00,2022-06-03 09:11:10.578,,
13,2022-05-26 09:13:37.732,24063,18036664,891,20220526,00:00,2022-06-01 09:08:19.164,,
14,2022-05-25 09:02:44.294,24029,18017859,890,20220525,00:00,2022-06-01 09:08:25.254,,
15,2022-05-24 08:49:38.261,24006,17993923,889,20220524,00:00,2022-05-31 08:58:44.451,,
16,2022-05-23 08:56:56.412,23987,17967592,888,20220523,00:00,2022-05-28 09:10:13.674,,
17,2022-05-22 07:52:40.527,23965,17957621,887,20220522,00:00,2022-05-28 09:10:20.33,,
18,2022-05-21 08:39:51.786,23911,17938332,886,20220521,00:00,2022-05-28 09:10:27.211,,
19,2022-05-20 09:02:54.987,23885,17914882,885,20220520,00:00,2022-05-27 09:04:41.621,,
20,2022-05-19 09:07:11.841,23842,17889769,884,20220519,00:00,2022-05-26 09:16:54.036,,
21,2022-05-18 08:58:30.377,23802,17861660,883,20220518,00:00,2022-05-25 09:05:49.683,,
22,2022-05-17 09:04:52.287,23771,17830327,882,20220517,00:00,2022-05-24 09:18:48.656,,
23,2022-05-16 09:04:43.174,23744,17795242,881,20220516,00:00,2022-05-21 08:47:40.875,,
24,2022-05-15 09:27:15.538,23709,17781952,880,20220515,00:00,2022-05-21 08:47:54.484,,
25,2022-05-14 09:46:39.377,23661,17756527,879,20220514,00:00,2022-05-21 08:48:13.125,,
26,2022-05-13 09:09:51.89,23606,17726955,878,20220513,00:00,2022-05-20 09:06:42.817,,
27,2022-05-12 09:05:26.458,23554,17694520,877,20220512,00:00,2022-05-19 17:37:18.336,,
28,2022-05-11 09:01:52.873,23491,17658638,876,20220511,00:00,2022-05-19 17:38:10.681,,
29,2022-05-10 09:02:38.129,23462,17614757,875,20220510,00:00,2022-05-17 09:06:40.689,,
30,2022-05-09 09:06:19.774,23400,17564861,874,20220509,00:00,2022-05-14 10:34:58.518,,
31,2022-05-08 09:02:00.163,23360,17544273,873,20220508,00:00,2022-05-14 10:35:16.208,,
32,2022-05-07 09:18:40.439,23289,17504225,872,20220507,00:00,2022-05-14 10:35:34.039,,
33,2022-05-06 08:06:00.523,23206,17464662,871,20220506,00:00,2022-05-13 09:11:27.572,,
34,2022-05-05 09:23:43.381,23158,17437984,870,20220505,00:00,2022-05-12 09:06:57.564,,
35,2022-05-04 09:11:34.915,23079,17395705,869,20220504,00:00,2022-05-11 09:03:27.014,,
36,2022-05-03 09:08:23.319,23007,17346659,868,20220503,00:00,2022-05-10 10:09:55.309,,
